date,open,high,low,close,volume
2025-06-02,204.98,207.0,202.68,206.65,29113319.0
2025-06-03,207.105,208.9469,205.03,205.71,33139121.0
2025-06-04,206.55,208.18,205.18,207.23,29915592.0
2025-06-05,209.55,212.81,207.56,207.91,51979243.0
2025-06-06,212.4,213.8699,210.5,213.57,39832500.0
2025-06-09,214.75,217.85,212.88,216.98,38102502.0
2025-06-10,216.78,217.69,214.15,217.61,31303317.0
2025-06-11,217.41,218.4,212.89,213.2,39325981.0
2025-06-12,211.78,213.58,211.33,213.24,27639991.0
2025-06-13,209.96,214.05,209.62,212.1,29337763.0
2025-06-16,212.31,217.06,211.6,216.1,33284158.0
2025-06-17,215.195,217.41,214.56,214.82,32086262.0
2025-06-18,215.09,217.96,212.34,212.78,44360509.0
2025-06-20,214.68,214.89,208.2709,209.69,75350733.0
2025-06-23,209.79,210.39,207.3101,208.47,37311725.0
2025-06-24,212.135,214.34,211.045,212.77,38378757.0
2025-06-25,214.615,216.03,211.11,211.99,31755698.0
2025-06-26,213.12,218.035,212.01,217.12,50480814.0
2025-06-27,219.92,223.3,216.74,223.3,119217138.0
2025-06-30,223.52,223.82,219.12,219.39,58887780.0
2025-07-01,219.5,221.875,217.93,220.46,39256830.0
2025-07-02,219.73,221.6,219.06,219.92,30894178.0
2025-07-03,221.82,224.01,221.36,223.41,29632353.0
2025-07-07,223.0,224.29,222.37,223.47,36604139.0
2025-07-08,223.915,224.0,218.43,219.36,45691987.0
2025-07-09,221.07,224.29,220.47,222.54,38155121.0
2025-07-10,221.55,222.79,219.7,222.26,30370591.0
2025-07-11,223.58,226.6799,222.37,225.02,50518307.0
2025-07-14,225.07,226.66,224.24,225.69,35702597.0
2025-07-15,226.2,227.27,225.455,226.35,34907294.0
2025-07-16,225.875,226.1,222.18,223.19,39535926.0
2025-07-17,223.32,224.5,222.51,223.88,31855831.0
2025-07-18,225.14,226.4,222.98,226.13,37833807.0
2025-07-21,225.835,229.69,225.65,229.3,40297556.0
2025-07-22,229.68,230.0,226.35,227.47,37483702.0
2025-07-23,228.47,228.79,227.09,228.29,28294852.0
2025-07-24,229.17,236.0,228.64,232.23,42902266.0
2025-07-25,232.22,232.48,231.18,231.44,28712095.0
2025-07-28,233.35,234.29,232.25,232.79,26300138.0
2025-07-29,234.15,234.72,230.31,231.01,33716220.0
2025-07-30,231.64,231.8,229.29,230.19,32993273.0
2025-07-31,235.77,236.53,231.4,234.11,104357263.0
2025-08-01,217.21,220.4399,212.8,214.75,122258801.0
2025-08-04,217.4,217.44,211.42,211.65,77890146.0
2025-08-05,213.05,216.3,212.87,213.75,51505121.0
2025-08-06,214.695,222.65,213.7409,222.31,54823045.0
2025-08-07,221.0,226.22,220.82,223.13,40603513.0
2025-08-08,223.14,223.8,221.8836,222.69,32970477.0
2025-08-11,221.78,223.05,220.4,221.3,31646222.0
2025-08-12,222.23,223.5,219.05,221.47,37254707.0
2025-08-13,222.0,224.9185,222.0,224.56,36508335.0
2025-08-14,227.4,233.11,227.02,230.98,61545824.0
2025-08-15,232.58,234.08,229.807,231.03,39649244.0
2025-08-18,230.225,231.91,228.33,231.49,25248890.0
2025-08-19,230.09,230.5283,227.12,228.01,29891012.0
2025-08-20,227.12,227.27,220.915,223.81,36604319.0
2025-08-21,222.65,222.78,220.5,221.95,32140459.0
2025-08-22,222.79,229.14,220.82,228.84,37315341.0
2025-08-25,227.35,229.6,227.31,227.94,22633695.0
2025-08-26,227.11,229.0,226.02,228.71,26105373.0
2025-08-27,228.57,229.87,227.81,229.12,21254479.0
2025-08-28,229.005,232.71,228.02,231.6,33679585.0
2025-08-29,231.32,231.8125,228.16,229.0,26199170.0
2025-09-02,223.52,226.17,221.83,225.34,38843883.0
2025-09-03,225.21,227.1699,224.36,225.99,29223134.0
2025-09-04,231.185,235.77,230.78,235.68,59391779.0
2025-09-05,235.19,236.0,231.93,232.33,36721802.0
2025-09-08,234.94,237.6,233.75,235.84,33947104.0
2025-09-09,236.355,238.85,235.08,238.24,27033778.0
2025-09-10,237.515,237.68,229.0962,230.33,60907714.0
2025-09-11,231.49,231.53,229.3377,229.95,37485598.0
2025-09-12,230.35,230.79,226.29,228.15,38496218.0
2025-09-15,230.625,233.73,230.32,231.43,33243328.0
2025-09-16,232.935,235.9,232.23,234.05,38203912.0
